	Age	Education	Marital_Status	Income	Children	daysCustomerFor	Recency	Wines	Fruits	Meat	Fish	Sweets	Total_Spent	Gold	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	PurchaseNum	NumStorePurchases	NumWebVisitsMonth	Total_campaigns_accepted	Complain	Cust_Seniority	Clusters
0	65	UG	Single	58138.0	0	971	58	635	88	546	172	88	1617	88	3	8	10	22	4	7	1	0	Old	3
1	68	UG	Single	46344.0	2	125	38	11	1	6	2	1	27	6	2	1	1	4	2	5	0	0	New	4
2	57	UG	Married	71613.0	0	472	26	426	49	127	111	21	776	42	1	8	2	20	10	4	0	0	Old	3
3	38	UG	Married	26646.0	1	65	26	11	4	20	10	3	53	5	2	2	0	6	4	6	0	0	New	4
4	41	PG	Married	58293.0	1	321	94	173	43	118	46	27	422	15	5	5	3	14	6	5	0	0	New	4
5	55	PG	Married	62513.0	1	453	16	520	42	98	0	42	716	14	2	6	4	20	10	6	0	0	Old	0
6	51	UG	Single	55635.0	1	753	34	235	65	164	50	49	590	27	4	7	3	17	7	6	0	0	Old	0
7	37	PG	Married	33454.0	1	488	32	76	10	56	3	1	169	23	2	4	0	8	4	8	0	0	Old	2
8	48	PG	Married	30351.0	1	548	19	14	0	24	3	3	46	2	1	3	0	5	2	9	1	0	Old	2
9	72	PG	Married	5648.0	2	268	68	28	0	6	1	1	49	13	1	1	0	1	0	20	1	0	New	4
10	39	UG	Married	51381.5	1	386	11	5	5	6	0	2	19	1	1	1	0	3	2	7	0	0	Old	2
11	46	UG	Married	7500.0	0	753	59	6	16	11	11	1	61	16	1	2	0	5	3	8	0	0	Old	2
12	63	UG	Single	63033.0	0	386	82	194	61	480	225	112	1102	30	1	3	4	15	8	2	0	0	Old	3
13	70	PG	Single	59354.0	2	386	53	233	2	53	3	5	310	14	3	6	1	12	5	6	0	0	Old	0
14	35	UG	Married	17323.0	0	787	38	3	14	17	6	1	46	5	1	1	0	4	3	8	0	0	Old	2
15	76	PG	Single	82800.0	0	742	23	1006	22	115	59	68	1315	45	1	7	6	25	12	3	3	0	Old	3
16	42	UG	Married	41850.0	2	712	51	53	5	19	2	13	96	4	3	3	0	6	3	8	0	0	Old	2
17	76	UG	Married	37760.0	0	827	20	84	5	38	150	12	317	28	2	4	1	11	6	7	0	0	Old	2
18	73	PG	Married	76995.0	1	618	91	1012	80	498	0	16	1782	176	2	11	4	24	9	5	1	0	Old	3
19	37	UG	Single	33812.0	1	1000	86	4	17	19	30	24	133	39	2	2	1	6	3	6	0	0	Old	2
20	40	UG	Married	37040.0	0	850	41	86	2	73	69	38	316	48	1	4	2	11	5	8	0	0	Old	2
21	43	UG	Married	2447.0	1	553	42	1	1	1725	1	1	1730	1	15	0	28	28	0	1	0	0	Old	3
22	73	PG	Married	58607.0	1	713	63	867	0	86	0	0	972	19	3	2	3	14	9	8	1	0	Old	0
23	68	PG	Married	65324.0	1	35	0	384	0	102	21	32	544	5	3	6	2	17	9	4	0	0	New	4
24	71	UG	Married	40689.0	1	628	69	270	3	27	39	6	444	99	7	7	1	13	5	8	0	0	Old	0
25	53	UG	Single	18589.0	0	673	89	6	4	25	15	12	75	13	2	2	1	6	3	7	0	0	Old	2
26	46	UG	Married	53359.0	2	558	4	173	4	30	3	6	257	41	4	5	1	10	4	7	0	0	Old	2
27	36	UG	Single	51381.5	1	654	19	5	1	3	3	263	637	362	0	27	0	27	0	1	0	0	Old	3
28	33	UG	Married	38360.0	1	554	26	36	2	42	20	21	131	10	2	2	1	7	4	3	0	0	Old	2
29	57	PG	Married	84618.0	0	379	96	684	100	801	21	66	1672	0	1	6	9	25	10	2	1	0	Old	3
30	33	PG	Single	10979.0	0	198	34	8	4	10	2	2	30	4	2	3	0	6	3	5	0	0	New	4
31	59	PG	Married	38620.0	0	396	56	112	17	44	34	22	318	89	1	2	5	10	3	3	0	0	Old	2
32	52	UG	Married	40548.0	1	787	31	110	0	5	2	0	120	3	2	2	1	7	4	5	1	0	Old	2
33	70	PG	Single	46610.0	2	768	8	96	12	96	33	22	302	43	6	4	1	11	6	6	1	0	Old	0
34	76	PG	Married	68657.0	0	654	4	482	34	471	119	68	1196	22	1	3	5	17	9	7	0	0	Old	3
35	71	PG	Single	49389.0	2	464	55	40	0	19	2	1	65	3	1	2	0	5	3	7	0	0	Old	2
36	52	PG	Married	67353.0	1	340	37	702	17	151	0	8	913	35	5	5	6	23	12	2	0	0	New	1
37	46	UG	Married	23718.0	1	665	76	6	3	14	15	7	81	36	3	3	1	6	2	7	0	0	Old	2
38	49	UG	Single	42429.0	1	34	99	55	0	6	2	0	67	4	2	1	1	5	3	5	0	0	New	4
39	79	PG	Single	48948.0	0	703	53	437	8	206	160	49	902	42	2	7	10	22	5	6	2	0	Old	3
40	42	UG	Married	80011.0	1	586	3	421	76	536	82	178	1395	102	2	8	6	19	5	4	0	0	Old	3
41	37	PG	Married	20559.0	1	368	88	13	1	29	3	0	53	7	2	2	0	5	3	8	0	0	New	4
